downtime_id,machine_id,downtime_start,downtime_end,downtime_reason,downtime_hours
335,5,2026-06-09T14:00:00,2026-06-09T17:15:36,Mechanical Failure,3.26
336,2,2026-06-10T11:00:00,2026-06-10T14:00:00,Material Shortage,3.0
337,4,2026-06-10T17:00:00,2026-06-10T18:59:24,Electrical Issue,1.99
338,1,2026-06-11T07:00:00,2026-06-11T07:38:24,Mechanical Failure,0.64
339,3,2026-06-11T15:00:00,2026-06-11T16:10:48,Mechanical Failure,1.18
340,1,2026-06-12T10:00:00,2026-06-12T12:44:24,Material Shortage,2.74
341,5,2026-06-12T19:00:00,2026-06-12T20:39:36,Machine Adjustment,1.66
342,1,2026-06-13T10:00:00,2026-06-13T10:39:36,Machine Adjustment,0.66
343,3,2026-06-13T16:00:00,2026-06-13T19:21:36,Mechanical Failure,3.36
344,4,2026-06-13T06:00:00,2026-06-13T08:36:00,Mechanical Failure,2.6
345,1,2026-06-14T19:00:00,2026-06-14T20:54:36,Testing Error,1.91
346,3,2026-06-14T20:00:00,2026-06-14T20:33:00,Calibration,0.55
347,5,2026-06-15T21:00:00,2026-06-15T22:52:48,Calibration,1.88
348,3,2026-06-16T06:00:00,2026-06-16T08:14:24,Testing Error,2.24
349,3,2026-06-19T18:00:00,2026-06-19T20:27:00,Mechanical Failure,2.45
350,5,2026-06-19T08:00:00,2026-06-19T08:52:12,Testing Error,0.87
351,5,2026-06-21T10:00:00,2026-06-21T11:22:12,Material Shortage,1.37
352,2,2026-06-22T06:00:00,2026-06-22T09:34:12,Electrical Issue,3.57
353,3,2026-06-22T07:00:00,2026-06-22T10:26:24,Mechanical Failure,3.44
354,5,2026-06-22T15:00:00,2026-06-22T17:03:36,Calibration,2.06
355,2,2026-06-23T10:00:00,2026-06-23T13:09:36,Mechanical Failure,3.16
356,3,2026-06-23T14:00:00,2026-06-23T15:52:48,Calibration,1.88
357,2,2026-06-24T11:00:00,2026-06-24T13:33:36,Testing Error,2.56
358,3,2026-06-24T06:00:00,2026-06-24T07:14:24,Electrical Issue,1.24
359,3,2026-06-26T10:00:00,2026-06-26T13:52:12,Mechanical Failure,3.87
360,2,2026-06-27T17:00:00,2026-06-27T19:40:12,Mechanical Failure,2.67
361,3,2026-06-28T16:00:00,2026-06-28T18:33:00,Machine Adjustment,2.55
362,5,2026-06-28T07:00:00,2026-06-28T08:48:36,Mechanical Failure,1.81
363,5,2026-06-29T19:00:00,2026-06-29T21:43:48,Machine Adjustment,2.73
364,2,2026-06-30T20:00:00,2026-06-30T21:55:48,Calibration,1.93
365,3,2026-07-01T11:00:00,2026-07-01T12:13:48,Mechanical Failure,1.23
366,5,2026-07-01T15:00:00,2026-07-01T18:01:48,Electrical Issue,3.03
367,3,2026-07-03T09:00:00,2026-07-03T11:25:48,Calibration,2.43
368,2,2026-07-04T09:00:00,2026-07-04T10:25:48,Mechanical Failure,1.43
369,4,2026-07-04T14:00:00,2026-07-04T16:43:48,Material Shortage,2.73
370,1,2026-07-05T19:00:00,2026-07-05T20:09:00,Machine Adjustment,1.15
371,4,2026-07-05T17:00:00,2026-07-05T18:37:48,Mechanical Failure,1.63
372,1,2026-07-07T20:00:00,2026-07-07T22:45:00,Mechanical Failure,2.75
373,5,2026-07-07T17:00:00,2026-07-07T20:25:12,Calibration,3.42
374,1,2026-07-08T10:00:00,2026-07-08T13:42:36,Calibration,3.71
375,3,2026-07-08T12:00:00,2026-07-08T15:46:12,Calibration,3.77
376,5,2026-07-08T06:00:00,2026-07-08T06:49:12,Electrical Issue,0.82
377,3,2026-07-10T11:00:00,2026-07-10T13:58:12,Calibration,2.97
378,2,2026-07-11T10:00:00,2026-07-11T13:43:12,Mechanical Failure,3.72
379,5,2026-07-11T14:00:00,2026-07-11T15:50:24,Calibration,1.84
380,5,2026-07-12T21:00:00,2026-07-12T23:39:00,Machine Adjustment,2.65
381,5,2026-07-15T08:00:00,2026-07-15T08:58:48,Material Shortage,0.98
382,2,2026-07-16T10:00:00,2026-07-16T13:28:48,Material Shortage,3.48
383,1,2026-07-17T07:00:00,2026-07-17T10:46:48,Machine Adjustment,3.78
384,3,2026-07-18T18:00:00,2026-07-18T19:44:24,Mechanical Failure,1.74
385,3,2026-07-19T18:00:00,2026-07-19T19:22:48,Mechanical Failure,1.38
386,3,2026-07-20T21:00:00,2026-07-20T21:31:48,Mechanical Failure,0.53
387,1,2026-07-21T06:00:00,2026-07-21T08:50:24,Testing Error,2.84
388,1,2026-07-22T11:00:00,2026-07-22T12:53:24,Mechanical Failure,1.89
389,5,2026-07-22T19:00:00,2026-07-22T20:24:00,Material Shortage,1.4
390,1,2026-07-23T18:00:00,2026-07-23T21:25:48,Calibration,3.43
391,1,2026-07-24T09:00:00,2026-07-24T09:56:24,Machine Adjustment,0.94
392,2,2026-07-26T10:00:00,2026-07-26T13:08:24,Material Shortage,3.14
393,3,2026-07-26T18:00:00,2026-07-26T19:49:48,Mechanical Failure,1.83
394,1,2026-07-27T14:00:00,2026-07-27T16:00:36,Electrical Issue,2.01
395,3,2026-07-27T06:00:00,2026-07-27T09:45:00,Mechanical Failure,3.75
396,4,2026-07-27T08:00:00,2026-07-27T11:29:24,Mechanical Failure,3.49
397,5,2026-07-27T06:00:00,2026-07-27T09:11:24,Machine Adjustment,3.19
398,1,2026-07-28T15:00:00,2026-07-28T15:31:12,Material Shortage,0.52
399,2,2026-07-28T10:00:00,2026-07-28T11:25:48,Testing Error,1.43
400,3,2026-07-28T13:00:00,2026-07-28T14:21:36,Material Shortage,1.36
401,3,2026-07-29T15:00:00,2026-07-29T16:44:24,Mechanical Failure,1.74
402,4,2026-07-30T16:00:00,2026-07-30T18:15:36,Mechanical Failure,2.26
403,3,2026-07-31T21:00:00,2026-08-01T00:42:00,Mechanical Failure,3.7
404,3,2026-08-01T19:00:00,2026-08-01T22:12:00,Mechanical Failure,3.2
405,2,2026-08-02T11:00:00,2026-08-02T14:41:24,Machine Adjustment,3.69
406,3,2026-08-04T10:00:00,2026-08-04T13:15:00,Mechanical Failure,3.25
407,5,2026-08-04T08:00:00,2026-08-04T09:42:00,Testing Error,1.7
408,3,2026-08-05T16:00:00,2026-08-05T18:27:36,Mechanical Failure,2.46
409,2,2026-08-08T09:00:00,2026-08-08T11:13:48,Testing Error,2.23
410,3,2026-08-08T11:00:00,2026-08-08T13:53:24,Mechanical Failure,2.89
411,4,2026-08-08T15:00:00,2026-08-08T16:11:24,Mechanical Failure,1.19
412,2,2026-08-09T08:00:00,2026-08-09T11:25:12,Calibration,3.42
413,4,2026-08-09T11:00:00,2026-08-09T14:06:36,Testing Error,3.11
414,3,2026-08-10T13:00:00,2026-08-10T14:55:12,Material Shortage,1.92
415,5,2026-08-10T14:00:00,2026-08-10T16:28:12,Material Shortage,2.47
416,3,2026-08-11T12:00:00,2026-08-11T14:42:36,Mechanical Failure,2.71
417,1,2026-08-14T10:00:00,2026-08-14T10:51:36,Material Shortage,0.86
418,3,2026-08-14T15:00:00,2026-08-14T16:04:12,Electrical Issue,1.07
419,3,2026-08-15T17:00:00,2026-08-15T20:05:24,Testing Error,3.09
420,2,2026-08-16T11:00:00,2026-08-16T12:15:36,Machine Adjustment,1.26
421,3,2026-08-16T10:00:00,2026-08-16T12:12:36,Mechanical Failure,2.21
422,1,2026-08-17T18:00:00,2026-08-17T20:29:24,Testing Error,2.49
423,3,2026-08-17T10:00:00,2026-08-17T12:03:36,Mechanical Failure,2.06
424,1,2026-08-18T06:00:00,2026-08-18T06:49:12,Calibration,0.82
425,2,2026-08-18T16:00:00,2026-08-18T18:53:24,Electrical Issue,2.89
426,3,2026-08-18T07:00:00,2026-08-18T08:52:48,Mechanical Failure,1.88
427,3,2026-08-19T07:00:00,2026-08-19T09:29:24,Mechanical Failure,2.49
428,2,2026-08-20T17:00:00,2026-08-20T18:57:00,Material Shortage,1.95
429,5,2026-08-20T21:00:00,2026-08-20T23:28:12,Testing Error,2.47
430,3,2026-08-21T11:00:00,2026-08-21T11:54:00,Mechanical Failure,0.9
431,2,2026-08-22T07:00:00,2026-08-22T10:32:24,Electrical Issue,3.54
